Time_Stamp,Temperature_Joint0 (°C),Temperature_Joint1 (°C),Temperature_Joint2 (°C),Temperature_Joint3 (°C),Temperature_Joint4 (°C),Temperature_Joint5 (°C),cycle ,Robot_Protective_Stop,Grip_Lost,Combined_Status,Current_Joint0 (mA)_Positive,Current_Joint0 (mA)_Negative,Current_Joint1 (mA)_Positive,Current_Joint1 (mA)_Negative,Current_Joint2 (mA)_Positive,Current_Joint2 (mA)_Negative,Current_Joint3 (mA)_Positive,Current_Joint3 (mA)_Negative,Current_Joint4 (mA)_Positive,Current_Joint4 (mA)_Negative,Current_Joint5 (mA)_Positive,Current_Joint5 (mA)_Negative,Tool_Current (mA)_Positive,Tool_Current (mA)_Negative,Speed_Joint0 (m/s)_Positive,Speed_Joint0 (m/s)_Negative,Speed_Joint1 (m/s)_Positive,Speed_Joint1 (m/s)_Negative,Speed_Joint2 (m/s)_Positive,Speed_Joint2 (m/s)_Negative,Speed_Joint3 (m/s)_Positive,Speed_Joint3 (m/s)_Negative,Speed_Joint4 (m/s)_Positive,Speed_Joint4 (m/s)_Negative,Speed_Joint5 (m/s)_Positive,Speed_Joint5 (m/s)_Negative
2022-10-26 08:21:37.159,28.688,30.375,30.563,33.438,33.875,33.5,9,0,0,0,0.0,0.476,0.0,2.136,0.0,0.8,0.0,0.895,0.66,0.0,0.179,0.0,0.085,0.0,0.15,0.0,0.0,0.045,0.057,0.0,0.0,0.315,0.017,0.0,0.252,0.0
2022-10-26 08:21:41.185,28.688,30.375,30.563,33.5,33.875,33.5,9,0,0,0,0.0,0.408,0.0,2.609,0.0,1.457,0.0,0.308,0.152,0.0,0.0,0.151,0.085,0.0,0.0,0.146,0.003,0.0,0.0,0.021,0.296,0.0,0.0,0.01,0.0,0.15
2022-10-26 08:21:45.197,28.688,30.375,30.563,33.5,33.9375,33.5,9,0,0,0,0.0,0.566,0.0,1.765,0.0,1.605,0.059,0.0,0.061,0.0,0.05,0.0,0.089,0.0,0.111,0.0,0.138,0.0,0.0,2.556,0.391,0.0,0.0,0.0,0.0,0.491
2022-10-26 08:21:47.205,28.75,30.375,30.563,33.5,33.9375,33.5,9,0,0,0,0.015,0.0,0.0,1.903,0.0,0.828,0.0,1.049,0.0,0.16,0.217,0.0,0.086,0.0,0.326,0.0,0.0,0.062,0.077,0.0,0.0,0.784,0.033,0.0,0.462,0.0
2022-10-26 08:21:49.210,28.688,30.438,30.563,33.563,33.9375,33.5625,9,0,0,0,0.0,0.079,0.0,1.579,0.0,0.761,0.0,0.652,0.0,0.074,0.016,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.004,0.0,0.0
2022-10-26 08:21:50.214,28.75,30.438,30.563,33.5,33.9375,33.5,9,0,0,0,0.0,0.499,0.0,3.643,0.0,2.266,0.0,0.138,0.047,0.0,0.0,0.216,0.079,0.0,0.0,0.277,0.0,0.006,0.0,0.045,0.981,0.0,0.0,0.04,0.0,0.838
2022-10-26 08:21:54.225,28.688,30.438,30.625,33.5,33.9375,33.5625,9,0,0,0,0.0,0.201,0.0,2.73,0.0,0.772,0.0,0.319,0.11,0.0,0.172,0.0,0.083,0.0,0.0,0.331,0.0,0.0,0.0,0.002,0.249,0.0,0.014,0.0,0.074,0.0
2022-10-26 08:21:55.227,28.75,30.438,30.625,33.563,34.0,33.5625,9,0,0,0,0.0,0.159,0.0,2.706,0.0,0.945,0.0,0.412,0.038,0.0,0.093,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:21:56.242,28.75,30.438,30.625,33.5,34.0,33.5625,9,0,0,0,0.0,0.138,0.0,2.478,0.0,1.018,0.0,0.447,0.04,0.0,0.054,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.454,0.0,0.0,0.0
2022-10-26 08:21:57.244,28.75,30.438,30.625,33.563,34.0,33.5625,10,0,0,0,0.311,0.0,0.0,1.394,0.0,1.522,0.0,0.874,0.0,0.122,0.0,0.119,0.08,0.0,0.746,0.0,0.0,0.0,0.025,0.0,0.0,0.542,0.0,0.024,0.0,0.216
2022-10-26 08:21:58.250,28.75,30.438,30.625,33.563,34.0,33.5625,10,0,0,0,0.403,0.0,0.0,2.461,0.0,1.097,0.0,0.572,0.0,0.785,0.0,0.104,0.204,0.0,0.0,0.002,0.0,0.019,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.0
2022-10-26 08:22:02.273,28.75,30.5,30.688,33.563,34.0,33.625,10,0,0,0,0.0,0.175,0.0,2.557,0.0,0.807,0.0,0.63,0.078,0.0,0.0,0.116,0.169,0.0,0.0,0.013,0.006,0.0,0.0,0.005,0.0,0.006,0.0,0.0,0.0,0.0
2022-10-26 08:22:03.273,28.813,30.438,30.688,33.563,34.0,33.5625,10,0,0,0,0.0,0.145,0.0,2.272,0.0,1.032,0.0,0.493,0.004,0.0,0.041,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:22:04.279,28.813,30.438,30.688,33.563,34.0,33.5625,10,0,0,0,0.0,0.107,0.0,2.147,0.0,0.92,0.0,0.505,0.012,0.0,0.024,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:22:05.281,28.75,30.5,30.688,33.563,34.0625,33.625,10,0,0,0,0.0,0.018,0.0,2.615,0.0,1.362,0.0,0.381,0.103,0.0,0.0,0.146,0.084,0.0,0.0,0.078,0.001,0.0,0.0,0.009,0.145,0.0,0.0,0.005,0.0,0.064
2022-10-26 08:22:06.284,28.813,30.5,30.688,33.625,34.0625,33.625,10,0,0,0,0.0,0.151,0.0,2.703,0.0,1.858,0.0,0.227,0.141,0.0,0.0,0.147,0.08,0.0,0.0,0.035,0.002,0.0,0.0,0.032,0.654,0.0,0.0,0.023,0.0,0.637
2022-10-26 08:22:11.313,28.813,30.5,30.688,33.625,34.0625,33.625,10,0,0,0,0.304,0.0,0.0,1.399,0.0,0.501,0.0,0.924,0.0,0.238,0.223,0.0,0.093,0.0,0.115,0.0,0.0,0.089,0.076,0.0,0.0,1.134,0.057,0.0,0.994,0.0
2022-10-26 08:22:12.319,28.813,30.5,30.75,33.625,34.0625,33.625,10,0,0,0,0.0,0.08,0.0,1.672,0.0,0.797,0.0,0.669,0.0,0.118,0.043,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.233,0.0,0.0,0.0,0.0
2022-10-26 08:22:13.324,28.813,30.563,30.688,33.688,34.125,33.625,10,0,0,0,0.0,0.071,0.0,1.608,0.0,0.744,0.0,0.679,0.0,0.077,0.0,0.018,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.299,0.0,0.0
2022-10-26 08:22:14.326,28.813,30.563,30.75,33.688,34.125,33.6875,10,0,0,0,0.36,0.0,0.0,3.786,0.0,2.257,0.0,0.369,0.0,0.901,0.0,0.151,0.083,0.0,0.0,0.499,0.0,0.009,0.0,0.076,0.849,0.0,0.0,0.03,0.0,0.487
2022-10-26 08:22:16.342,28.813,30.563,30.75,33.688,34.125,33.625,10,0,0,0,0.194,0.0,0.0,2.467,0.0,1.57,0.0,1.556,0.0,0.544,0.0,0.211,0.078,0.0,0.113,0.0,0.0,0.043,0.005,0.0,0.0,0.434,0.0,0.078,0.196,0.0
2022-10-26 08:22:17.347,28.813,30.563,30.688,33.688,34.125,33.6875,10,0,0,0,0.116,0.0,0.0,1.993,0.0,0.545,0.0,0.052,0.0,0.237,0.0,0.197,0.227,0.0,0.0,0.004,0.0,0.001,0.0,0.001,0.032,0.0,0.0,0.002,0.006,0.0
2022-10-26 08:22:18.355,28.813,30.5,30.688,33.688,34.125,33.6875,10,0,0,0,0.0,0.279,0.0,2.564,0.0,0.589,0.0,0.3,0.119,0.0,0.124,0.0,0.089,0.0,0.0,0.324,0.0,0.0,0.0,0.007,0.196,0.0,0.01,0.0,0.119,0.0
2022-10-26 08:22:20.364,28.875,30.563,30.75,33.688,34.125,33.6875,10,0,0,0,0.0,0.114,0.0,2.501,0.0,0.998,0.0,0.464,0.027,0.0,0.037,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:22:25.397,28.875,30.563,30.75,33.688,34.1875,33.6875,11,0,0,0,0.0,0.069,0.0,2.578,0.0,1.405,0.0,1.721,0.553,0.0,0.18,0.0,0.079,0.0,0.041,0.0,0.0,0.049,0.085,0.0,0.0,0.63,0.032,0.0,0.557,0.0
2022-10-26 08:22:28.422,28.875,30.563,30.75,33.688,34.1875,33.75,11,0,0,0,0.0,0.118,0.0,1.747,0.0,0.896,0.0,0.49,0.002,0.0,0.005,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:22:29.429,28.938,30.563,30.75,33.688,34.1875,33.75,11,0,0,0,0.0,0.083,0.0,1.793,0.0,0.903,0.0,0.5,0.002,0.0,0.0,0.018,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-26 08:22:30.439,28.875,30.625,30.75,33.688,34.25,33.75,11,0,0,0,0.0,0.279,0.0,2.539,0.0,1.477,0.0,0.154,0.048,0.0,0.0,0.126,0.081,0.0,0.0,0.166,0.01,0.0,0.0,0.032,0.531,0.0,0.0,0.019,0.0,0.381
