Num,Timestamp,C0,T0,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,S0,S1,S2,S3,S4,S5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
1,2022-10-26T08:17:21.847Z,0.109627604484558mA,27.875°,-2.02466869354248mA,29.375°,-1.5314415693283mA,29.375°,-0.998570203781127mA,32.125°,-0.0625398382544517mA,32.25°,-0.152622118592262mA,32.0°,0.295565098524093m/s,-0.000489755475427955m/s,0.00131019437685608m/s,-0.132835566997528m/s,-0.00747852865606546m/s,-0.152962237596511m/s,0.0827318429946899mA,1,0,FALSE
2,2022-10-26T08:17:22.852Z,0.595605194568634mA,27.875°,-2.27845644950866mA,29.3125°,-0.866556406021118mA,29.4375°,-0.206096932291984mA,32.1875°,-1.0627623796463mA,32.25°,-0.260763853788375mA,32.0°,-7.39148515616262e-30m/s,-0.000303650216665118m/s,0.00218513747677207m/s,0.00166822713799774m/s,-0.000766827317420393m/s,0.000416901602875441m/s,0.50589495897293mA,1,0,FALSE
3,2022-10-26T08:17:23.857Z,-0.229473799467086mA,27.875°,-2.80040836334228mA,29.3125°,-2.3043360710144mA,29.4375°,-0.351499497890472mA,32.125°,-0.668869018554687mA,32.3125°,0.0390712767839431mA,32.0625°,0.136938601732254m/s,0.00779462233185768m/s,-2.53587412834167m/s,0.379866957664489m/s,0.000454562221420928m/s,-0.496855854988098m/s,0.0794200301170349mA,1,0,FALSE
4,2022-10-26T08:17:24.863Z,0.065053179860115mA,27.875°,-3.68776774406433mA,29.3125°,-1.2176524400711mA,29.4375°,-1.20911467075347mA,32.125°,-0.81975507736206mA,32.25°,0.153902933001518mA,32.0°,-0.0903003215789794m/s,-0.00491136731579899m/s,-0.00909601431339979m/s,-0.384196132421493m/s,0.0184108391404151m/s,0.425559103488922m/s,0.0833253860473632mA,1,0,FALSE
5,2022-10-26T08:17:25.877Z,0.884140253067016mA,27.875°,-2.93883037567138mA,29.375°,-1.79407620429992mA,29.4375°,-2.35647106170654mA,32.1875°,-0.966426730155944mA,32.3125°,0.178997665643692mA,32.0°,0.126808792352676m/s,0.00556694203987717m/s,0.00113834510557353m/s,-0.353284031152725m/s,0.014993798919022m/s,0.180988609790802m/s,0.0863787531852722mA,1,0,FALSE
6,2022-10-26T08:17:26.885Z,0.118960559368133mA,27.8125°,-2.16254186630249mA,29.375°,-1.21177947521209mA,29.4375°,-0.481833845376968mA,32.1875°,0.0153181906789541mA,32.3125°,0.0648444592952728mA,32.0625°,-4.63951073470525e-05m/s,9.26570428418926e-05m/s,0.000262410816503688m/s,0.00217078370042145m/s,0.000264706701273098m/s,-0.00247016106732189m/s,0.188309669494628mA,1,0,FALSE
7,2022-10-26T08:17:27.901Z,0.0861379131674766mA,27.875°,-1.7576470375061mA,29.375°,-0.960633754730224mA,29.4375°,-0.488379955291748mA,32.1875°,0.00650572963058948mA,32.3125°,0.0532493405044078mA,32.0625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,1.12103877145985e-44m/s,0.0851918458938598mA,1,0,FALSE
8,2022-10-26T08:17:28.903Z,0.0756569951772689mA,27.875°,-1.83646476268768mA,29.375°,-0.961322426795959mA,29.4375°,-0.512540757656097mA,32.1875°,-0.0218445193022489mA,32.3125°,0.0392284430563449mA,32.0625°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0870583653450012mA,1,0,FALSE
9,2022-10-26T08:17:29.905Z,-0.186848357319831mA,27.875°,-2.56373834609985mA,29.375°,-1.41893362998962mA,29.4375°,-0.262015104293823mA,32.1875°,0.0999419391155242mA,32.3125°,-0.173527032136917mA,32.0625°,-0.166003569960594m/s,0.00240865373052656m/s,-0.0154825886711478m/s,0.350063204765319m/s,-0.00998554099351167m/s,-0.192710176110267m/s,0.0857853293418884mA,1,0,FALSE
10,2022-10-26T08:17:30.909Z,-0.158912256360054mA,27.875°,-1.75077736377716mA,29.375°,-1.97940039634704mA,29.4375°,-0.184549927711486mA,32.1875°,0.0791570618748664mA,32.3125°,-0.209540769457817mA,32.0625°,0.0983230397105217m/s,0.0049957507289946m/s,-0.016995683312416m/s,0.496241122484207m/s,-0.0173527542501688m/s,-0.588686048984527m/s,0.0850195884704589mA,1,0,FALSE
11,2022-10-26T08:17:31.909Z,1.01408648490905mA,27.875°,-1.87529575824737mA,29.375°,-0.549352586269378mA,29.4375°,-0.782304286956787mA,32.1875°,-0.15929028391838mA,32.3125°,-0.0953236371278762mA,32.125°,0.00255903229117393m/s,-0.00655909907072782m/s,2.59407114982605m/s,-0.579771041870117m/s,0.0m/s,0.642610073089599m/s,0.0788266062736511mA,1,0,FALSE
12,2022-10-26T08:17:32.924Z,-0.401867747306823mA,27.875°,-3.17460227012634mA,29.375°,-1.05097723007202mA,29.5°,-0.39667928218841497mA,32.1875°,-0.114071279764175mA,32.3125°,0.209455430507659mA,32.0625°,-0.238060280680656m/s,-0.0301450155675411m/s,-0.0327993892133235m/s,0.232323542237281m/s,0.0641457885503768m/s,0.0149858091026544m/s,0.093337595462799mA,1,0,FALSE
13,2022-10-26T08:17:33.929Z,-0.888249158859252mA,27.875°,-1.72417414188385mA,29.375°,-1.74169266223907mA,29.5°,-0.0989516675472259mA,32.1875°,0.279280871152877mA,32.375°,0.0436390526592731mA,32.0625°,0.102189674973487m/s,0.145653635263443m/s,-2.5245521068573m/s,0.393293470144271m/s,0.0m/s,-0.488444119691848m/s,0.0826457738876342mA,1,0,FALSE
14,2022-10-26T08:17:34.936Z,-0.0488976836204528mA,27.875°,-2.02362823486328mA,29.4375°,-1.57418835163116mA,29.4375°,-0.459635257720947mA,32.25°,0.0923697128891944mA,32.375°,0.0314100719988346mA,32.125°,0.0m/s,0.0m/s,-0.000265061215031892m/s,5.33277726747646e-21m/s,-4.22552103716286e-32m/s,0.0m/s,0.0831531286239624mA,1,0,FALSE
15,2022-10-26T08:17:35.950Z,0.298313319683074mA,27.875°,-1.75552642345428mA,29.375°,-0.730017900466919mA,29.5°,-0.83985149860382mA,32.25°,-0.14594092965126mA,32.375°,0.184525415301322mA,32.125°,0.18175683915615m/s,-0.0368991009891033m/s,0.031121889129281m/s,-0.401681661605834m/s,0.0160146169364452m/s,0.208911523222923m/s,0.0869722962379455mA,1,0,FALSE
16,2022-10-26T08:17:36.954Z,-0.0902507901191711mA,27.875°,-1.67521357536315mA,29.375°,-0.7911878824234mA,29.5°,-0.696012139320373mA,32.1875°,-0.124836757779121mA,32.375°,-0.0206533409655094mA,32.125°,0.0m/s,0.0m/s,0.0m/s,0.0m/s,0.0m/s,5.77902610530145e-05m/s,0.087651789188385mA,1,0,FALSE
17,2022-10-26T08:17:37.954Z,-0.0569290667772293mA,27.875°,-1.60693621635437mA,29.4375°,-0.767417550086975mA,29.4375°,-0.652659654617309mA,32.25°,-0.17290636897087mA,32.4375°,0.0252373553812503mA,32.125°,0.0m/s,0.0017609876813367m/s,0.0m/s,-0.00152060843538492m/s,0.0m/s,0.0m/s,0.172946810722351mA,1,0,FALSE
